id_arrecadacao;id_uf;co_periodo;ANO2;MES;va_icms_primario;va_icms_secundario;va_icms_terciario;va_icms_terciario_atacadista;va_icms_terciario_varejista;va_icms_terciario_transportes;va_icms_terciario_comunicacao;va_icms_terciario_outros;va_icms_energia;va_icms_energia_secundario;va_icms_energia_terciario;va_icms_combustiveis;va_icms_combustiveis_secundario;va_icms_combustiveis_terciario;va_icms_divida_ativa;va_icms_outras;va_icms_total;va_outros_tributos_ipva;va_outros_tributos_itcd;va_outros_tributos_taxas;va_outros_tributos_outros;va_outros_tributos_total;va_receita_tributaria_total
157;RO;201001;2010;1;4922136;7401915;91751528;27648946;25266877;3511754;15226097;20097854;8141582;0;8141582;42893589;10715743;32177846;2762244;2319516;160192510;6338343;160879;1738635;23028339;31266196;191458706
426;AC;201001;2010;1;601285;960857;29515708;2498627;4881811;530435;4859108;16745727;4409543;4409543;0;462839;108;462731;444113;0;36394345;2158139;39314;180925;0;2378378;38772723
694;AM;201001;2010;1;4865890;114364718;217299613;60445194;59229941;9744850;29966043;57913585;8422154;0;0;52003277;0;0;313679;0;397269331;10067594;208774;212155;13200377;23688900;420958231
963;RR;201001;2010;1;25061;2653174;15375854;4937323;6404643;66005;3967878;5;2580720;2580720;0;8134748;7714501;420247;0;2861274;31630831;1252120;56339;59823;4523304;5891586;37522417
1232;PA;201001;2010;1;2077065;81004112;195530787;32168297;68265706;8609863;51186408;35300513;31019462;6569181;24450281;110600235;0;110600235;2535174;2626002;425392837;10339057;432163;10817084;502597;22090901;447483738
1499;AP;201001;2010;1;796321;3021599;13818114;2557389;2791290;281943;2283616;5903876;9926;0;9926;16537488;0;16537488;18629;6486061;40688138;1476102;11139;1027344;293858;2808443;43496581
1767;TO;201001;2010;1;1442112;15407596;33865985;8686495;13209428;620143;9834433;1515486;8505465;8505465;0;28822610;28822610;0;462889;0;88506657;2135835;126260;1751657;1069933;5083685;93590342
2036;MA;201001;2010;1;916037;41009163;108103088;33269130;38214958;5385551;29045086;2188363;18806854;3632466;15174388;68081089;2433254;65647835;34587;5983345;242934163;7182153;171144;4715859;7846866;19916022;262850185
2304;PI;201001;2010;1;10360172;28682013;64980668;18136472;25130390;3674119;16603147;1436540;15914810;1473;15913337;41616951;0;41616951;118540;59505;161732659;7143913;164920;711175;47869;8067877;169800536
2573;CE;201001;2010;1;342270;102441890;224531514;89239177;73324599;6569452;55096080;302206;51139403;51139403;0;97744978;97744978;0;6889213;20925423;504014691;94011295;1514746;688649;2123;96216813;600231504
2842;RN;201001;2010;1;33986340;54951656;125971743;35356961;56243285;1732150;25225213;7414134;20573678;0;20573678;10586544;0;10586544;178;0;246070139;3754905;536645;0;0;4291550;250361689
3111;PB;201001;2010;1;1296502;37768509;112600500;42726196;40443915;3778745;23845007;1806637;20672124;370796;20301328;41035584;5023942;36011642;142989;0;213516208;5358005;409351;325830;9455112;15548298;229064506
3378;PE;201001;2010;1;483000;109923000;387765000;129915000;158028000;11321000;72443000;16058000;81976000;757000;81219000;105124000;355000;104769000;1452000;4404000;691127000;12048000;5298000;934000;15726000;34006000;725133000
3646;AL;201001;2010;1;61654;38212044;93197278;38497169;43047146;1926869;8235339;1490755;13496517;0;0;21580318;0;0;156753;3847383;170551947;3320723;164688;84028;3855928;7425367;177977314
3915;SE;201001;2010;1;2578850;27054823;69035542;19281090;25211003;2476570;14528220;7538659;12244927;12244927;0;23937631;21994266;1943365;485375;913222;136250370;3285145;375685;31552;4851715;8544097;144794467
4183;BA;201001;2010;1;7999433;232171435;424440178;137960287;131330218;15799742;119433607;19916324;103582941;99909059;3673882;237038057;217065487;19972570;1961716;19783707;1026977467;25096049;1301750;2624694;146363344;175385837;1202363304
4452;MG;201001;2010;1;5506671;641343650;746006113;244474152;218422629;42744753;219536176;20828403;218702221;30692643;188009578;381139161;335513912;45625249;10646731;53307862;2056652409;990408040;12272277;162083544;0;1164763861;3221416270
4721;ES;201001;2010;1;918262;193428571;253725920;151457634;50871024;10795850;40601412;0;54270181;8140527;46129654;79172377;0;79172377;2967975;0;584483286;9205754;1188634;15713885;0;26108273;610591559
4988;RJ;201001;2010;1;38527517;370757415;1033341315;305571131;299217942;22799858;280896711;124855673;270690714;11628235;259062479;227652342;190474753;37177589;6421551;16993593;1964384447;341658284;21256902;1390982;227790882;592097050;2556481497
5257;SP;201001;2010;1;6547387;2420309386;2702005858;1019145032;549452563;158125019;865135484;110147760;539044007;1542583;537501424;721197163;559986927;161210236;10037688;333754308;6732895797;3491880209;29122189;300492529;14763658;3836258585;10569154382
5526;PR;201001;2010;1;13004537;219730145;494661928;222662021;85299149;18752576;165153163;2795019;170534918;170534918;0;245610495;201330601;44279894;2964616;40342853;1186849492;62706467;7893294;3005152;53273417;126878330;1313727822
5795;SC;201001;2010;1;2754908;205808466;379435371;102725587;152854272;16036667;88534204;19284641;108918386;0;108918386;166139158;0;166139158;1779752;0;864836041;42600835;4510045;20844729;2;67955611;932791652
6064;RS;201001;2010;1;6721909;492197386;533030080;177221690;198395282;12306598;145106510;0;142526264;6145103;136381161;302279316;259122926;43156390;16534029;47739675;1541028659;246562441;4438592;12016172;0;263017205;1804045864
6332;MS;201001;2010;1;39458773;19862162;152307132;60475532;63143184;3461314;23781802;1445300;19599862;623279;18976583;88035763;3682042;84353721;334622;3738773;323337087;100929133;1764154;646292;854605;104194184;427531271
6600;MT;201001;2010;1;38447202;16479962;226198171;22272865;74690341;12892031;31303268;85039666;38726129;11617839;27108290;76389955;3437548;72952407;1933050;48270101;446444570;16951266;1243794;1751734;65473414;85420208;531864778
6868;GO;201001;2010;1;15382784;152969285;308499976;108949639;107288810;11196943;78386806;2677778;5384049;4295825;1088224;129508360;30126862;99381498;14876371;17358722;643979547;15833791;3540710;3230729;266454404;289059634;933039181
7137;DF;201001;2010;1;281821;55684299;243640127;83419639;76482741;4358464;68580835;10798448;28414530;28414530;0;80548446;3303886;77244560;1522468;1329548;411421239;13877599;1480450;3407434;142913;18908396;430329635
158;RO;201002;2010;2;5561946;6417843;72625049;26493830;15414995;3093215;13439979;14183030;6930437;0;6930437;46010934;7944374;38066560;2224457;2166495;141937161;7577953;279779;1709396;27780309;37347437;179284598
427;AC;201002;2010;2;434641;673301;32207426;2885787;4588842;650680;6076437;18005680;2297697;2297697;0;473169;0;473169;790798;0;36877032;2672141;46397;169099;0;2887637;39764669
695;AM;201002;2010;2;4142195;125871404;189042912;60220978;45449186;10399147;27236239;45737362;15136517;0;0;64465994;0;0;314810;0;398973832;10420656;153131;24098;10696213;21294098;420267930
964;RR;201002;2010;2;11971;2392213;13446904;4543224;5334342;68652;3497938;2748;2537761;2537761;0;9958199;8695656;1262543;0;2458342;30805390;1200306;23794;64316;4207485;5495901;36301291
1233;PA;201002;2010;2;2413176;61692487;186214010;28430434;53383394;7640549;48662296;48097337;7497816;2985995;4511821;95730511;0;95730511;2631288;609892;356789180;11156208;459707;7492398;40901652;60009965;416799145
1500;AP;201002;2010;2;425349;2239257;12541779;2423931;2110520;180894;2766507;5059927;13238;0;13238;12479514;0;12479514;3895;3253807;30956839;1941663;20576;965535;405301;3333075;34289914
1768;TO;201002;2010;2;1606089;13497812;29369087;7817311;11426435;466637;8340658;1318046;7969605;7969605;0;27182604;27182604;0;510998;0;80136195;4218211;250830;1608929;949462;7027432;87163627
2037;MA;201002;2010;2;573084;35041464;96518552;31001860;26955841;9401856;27178198;1980797;16803831;2606690;14197141;57791192;1866602;55924590;35018;6012011;212775152;23556749;224940;5223796;1494375;30499860;243275012
2305;PI;201002;2010;2;8644292;25438510;63931849;19953021;27098277;1523720;14226105;1130726;15747802;2686;15745116;40600138;0;40600138;134852;148565;154646008;8659631;334118;637387;20738;9651874;164297882
2574;CE;201002;2010;2;423632;89885929;197965873;76095082;61962693;6045507;53659456;203135;54449526;54449526;0;85538061;81076024;4462037;6247522;17652478;452163021;63610140;1976562;727711;532;66314945;518477966
2843;RN;201002;2010;2;32567163;48366300;104018556;32025535;38140044;1811356;24256968;7784653;17042347;0;17042347;10797272;0;10797272;0;0;212791638;8664707;416559;0;0;9081266;221872904
3112;PB;201002;2010;2;647330;35237976;99531761;36074403;33787594;3548729;23893128;2227907;19806951;393593;19413358;39222498;4950552;34271946;136993;0;194583509;8941799;373606;441348;8674204;18430957;213014466
3379;PE;201002;2010;2;353312;96619690;345406796;114461483;135499353;9180706;72551101;13714153;64812413;760853;64051560;104034666;279163;103755503;709975;2907925;614844777;39534574;2895506;817618;11930835;55178533;670023310
3647;AL;201002;2010;2;109581;33633344;88394747;34421142;34211852;1909665;15886413;1965675;14944068;0;0;22174373;0;0;380023;3526225;163162361;6084690;409412;60036;5429238;11983376;175145737
3916;SE;201002;2010;2;2354691;24770613;61904602;17346611;24317453;2527717;12396010;5316811;11983439;11983439;0;23965488;22170780;1794708;507551;950840;126437224;5645166;254993;24615;4939255;10864029;137301253
4184;BA;201002;2010;2;7694954;223020867;337934856;105465845;103685408;12012595;98780170;17990838;96606732;93197189;3409543;193254899;177735660;15519239;1446998;20357255;880316561;46528554;1331216;20566487;149879635;218305892;1098622453
4453;MG;201002;2010;2;8911107;599726002;629735101;201674886;161261933;38676045;207873641;20248596;227352202;28505538;198846664;370036372;327110459;42925913;12050508;54373954;1902185246;353733595;12274525;80897180;0;446905300;2349090546
4722;ES;201002;2010;2;793020;199221628;210685135;123135262;38369739;9265174;39914960;0;57348467;8602270;48746197;82702904;0;82702904;3600072;4875979;559227205;8583672;1338713;14782321;0;24704706;583931911
4989;RJ;201002;2010;2;55753934;343254163;841447880;268402884;210408747;22355739;260725083;79555427;281308382;13470689;267837693;159485701;135607322;23878379;5137214;21474717;1707861991;302329283;16990802;1257043;187430630;508007758;2215869749
5258;SP;201002;2010;2;7321086;2650653564;2829813857;1065424583;647049068;138507099;846652253;132180854;496993092;961093;496031999;818500935;668008437;150492498;13248877;278087351;7094618762;1533857239;54670788;235836835;16825515;1841190377;8935809139
5527;PR;201002;2010;2;13153187;171622701;409133307;177274220;61797639;18102932;149851407;2107109;165246227;165246227;0;250123769;213265892;36857877;1925151;34109706;1045314048;305294917;6429669;2634181;55343525;369702292;1415016340
5796;SC;201002;2010;2;2182104;167213621;339100803;93603639;134764963;14409705;76927461;19395035;83754554;0;83754554;147335256;0;147335256;2007970;0;741594308;56460154;3568117;21722586;5;81750862;823345170
6065;RS;201002;2010;2;7162748;406983154;382211890;159347958;128141381;10583384;84139167;0;87893148;5478628;82414520;203295914;175833241;27462673;15306934;41993836;1144847624;66121646;4479558;11092335;0;81693539;1226541163
6333;MS;201002;2010;2;50136524;17236606;136511668;53375229;50054318;2937359;28703718;1441044;18320539;182651;18137888;129373514;4496941;124876573;284258;4617683;356480792;22239277;3370742;596656;1117858;27324533;383805325
6601;MT;201002;2010;2;38373782;15525759;186400486;23061507;57509506;12443905;26798636;66586932;14996504;4498951;10497553;83248578;3746186;79502392;9053483;49796668;397395260;25962750;1062681;1860690;64528226;93414347;490809607
6869;GO;201002;2010;2;15714042;121907962;268597808;112253356;87718210;9586161;55848154;3191927;2659519;2050262;609257;134394833;27399043;106995790;14369466;16553974;574197604;23830989;3645672;2631088;292124106;322231855;896429459
